Scenario,DateTime,patient_count,avg_total_wait,avg_total_service,avg_patient_final_time,max_patient_final_time
Baseline_2Doc_240Peak,2024-01-01 08:00:00,677,18.79320531757755,16.29098966026588,35.084194977843424,151
Baseline_2Doc_240Peak,2024-01-01 09:00:00,690,63.655072463768114,16.281159420289853,79.93623188405797,214
Baseline_2Doc_240Peak,2024-01-01 10:00:00,695,104.1726618705036,16.397122302158273,120.56978417266187,283
Baseline_2Doc_240Peak,2024-01-01 11:00:00,702,131.7891737891738,16.24928774928775,148.03846153846155,348
Baseline_2Doc_240Peak,2024-01-01 12:00:00,553,149.8878842676311,16.240506329113924,166.12839059674502,390
Baseline_2Doc_240Peak,2024-01-01 13:00:00,546,175.23076923076923,16.426739926739927,191.65750915750917,415
Baseline_2Doc_240Peak,2024-01-01 14:00:00,548,199.742700729927,16.655109489051096,216.3978102189781,453
Baseline_2Doc_240Peak,2024-01-01 15:00:00,554,198.77256317689532,16.207581227436823,214.98014440433212,486
Baseline_2Doc_240Peak,2024-01-01 16:00:00,560,210.09285714285716,16.644642857142856,226.7375,488
Baseline_2Doc_240Peak,2024-01-01 17:00:00,548,226.8832116788321,16.724452554744527,243.60766423357666,488
Baseline_2Doc_240Peak,2024-01-01 18:00:00,540,241.8925925925926,16.340740740740742,258.23333333333335,482
Baseline_2Doc_240Peak,2024-01-01 19:00:00,547,244.3436928702011,16.40036563071298,260.7440585009141,468
Baseline_2Doc_240Peak,2024-01-01 20:00:00,543,235.72744014732965,16.29097605893186,252.01841620626152,456
Baseline_2Doc_240Peak,2024-01-01 21:00:00,540,241.01481481481483,16.133333333333333,257.14814814814815,440
Baseline_2Doc_240Peak,2024-01-01 22:00:00,544,226.16360294117646,16.404411764705884,242.56801470588235,410
Baseline_2Doc_240Peak,2024-01-01 23:00:00,550,210.59272727272727,16.567272727272726,227.16,410
Baseline_2Doc_240Peak,2024-01-02 00:00:00,529,208.46124763705103,16.266540642722116,224.72778827977316,389
Baseline_2Doc_240Peak,2024-01-02 01:00:00,134,200.53731343283582,16.149253731343283,216.6865671641791,376
Peak_120Min,2024-01-01 08:00:00,660,18.134848484848487,16.12272727272727,34.25757575757576,127
Peak_120Min,2024-01-01 09:00:00,699,52.645207439198856,16.42489270386266,69.07010014306151,213
Peak_120Min,2024-01-01 10:00:00,550,79.19636363636364,16.329090909090908,95.52545454545455,308
Peak_120Min,2024-01-01 11:00:00,549,90.1639344262295,16.367941712204008,106.53187613843352,337
Peak_120Min,2024-01-01 12:00:00,549,114.12932604735883,16.404371584699454,130.53369763205828,351
Peak_120Min,2024-01-01 13:00:00,540,124.07037037037037,16.54259259259259,140.61296296296297,375
Peak_120Min,2024-01-01 14:00:00,550,129.48727272727274,16.383636363636363,145.8709090909091,353
Peak_120Min,2024-01-01 15:00:00,550,160.40545454545455,16.185454545454544,176.5909090909091,404
Peak_120Min,2024-01-01 16:00:00,542,167.34132841328415,16.3690036900369,183.71033210332104,479
Peak_120Min,2024-01-01 17:00:00,544,183.79595588235293,16.345588235294116,200.14154411764707,482
Peak_120Min,2024-01-01 18:00:00,553,195.99095840867992,16.17721518987342,212.16817359855335,479
Peak_120Min,2024-01-01 19:00:00,551,194.5825771324864,16.303085299455535,210.8856624319419,452
Peak_120Min,2024-01-01 20:00:00,545,218.36146788990825,16.372477064220185,234.73394495412845,435
Peak_120Min,2024-01-01 21:00:00,552,219.76268115942028,16.253623188405797,236.0163043478261,435
Peak_120Min,2024-01-01 22:00:00,541,200.1626617375231,16.495378927911275,216.65804066543438,416
Peak_120Min,2024-01-01 23:00:00,539,192.3673469387755,16.25974025974026,208.62708719851577,380
Peak_120Min,2024-01-02 00:00:00,552,179.60507246376812,16.365942028985508,195.97101449275362,367
Peak_120Min,2024-01-02 01:00:00,410,180.59024390243903,16.348780487804877,196.9390243902439,345
Peak_120Min,2024-01-02 02:00:00,24,154.375,16.875,171.25,286
Peak_360Min,2024-01-01 08:00:00,658,20.0531914893617,16.396656534954406,36.44984802431611,193
Peak_360Min,2024-01-01 09:00:00,704,66.37642045454545,16.289772727272727,82.66619318181819,298
Peak_360Min,2024-01-01 10:00:00,709,106.3244005641749,16.48942172073343,122.81382228490833,350
Peak_360Min,2024-01-01 11:00:00,699,155.87410586552218,16.46638054363376,172.34048640915594,417
Peak_360Min,2024-01-01 12:00:00,696,184.95114942528735,16.61925287356322,201.57040229885058,486
Peak_360Min,2024-01-01 13:00:00,675,211.20296296296297,16.499259259259258,227.70222222222222,604
Peak_360Min,2024-01-01 14:00:00,555,229.23783783783784,16.4,245.63783783783785,626
Peak_360Min,2024-01-01 15:00:00,557,246.74506283662478,16.360861759425493,263.1059245960503,605
Peak_360Min,2024-01-01 16:00:00,541,275.1460258780037,16.597042513863215,291.7430683918669,582
Peak_360Min,2024-01-01 17:00:00,546,278.6630036630037,16.47252747252747,295.13553113553115,576
Peak_360Min,2024-01-01 18:00:00,548,263.6569343065693,16.536496350364963,280.1934306569343,522
Peak_360Min,2024-01-01 19:00:00,550,268.5690909090909,16.476363636363637,285.04545454545456,515
Peak_360Min,2024-01-01 20:00:00,546,252.47435897435898,16.43040293040293,268.9047619047619,483
Peak_360Min,2024-01-01 21:00:00,551,251.42105263157896,16.464609800362975,267.8856624319419,462
Peak_360Min,2024-01-01 22:00:00,550,244.38545454545454,16.392727272727274,260.7781818181818,450
Peak_360Min,2024-01-01 23:00:00,541,226.68576709796673,16.32902033271719,243.01478743068392,446
Peak_360Min,2024-01-02 00:00:00,365,213.7123287671233,16.19178082191781,229.9041095890411,424
Peak_360Min,2024-01-02 01:00:00,9,149.66666666666666,15.666666666666666,165.33333333333334,353
Staffing_1Doc,2024-01-01 08:00:00,665,310.86315789473684,16.425563909774436,327.2887218045113,1214
Staffing_1Doc,2024-01-01 09:00:00,704,618.1988636363636,16.338068181818183,634.5369318181819,1276
Staffing_1Doc,2024-01-01 10:00:00,694,721.328530259366,16.203170028818445,737.5317002881844,1293
Staffing_1Doc,2024-01-01 11:00:00,710,731.7957746478874,16.305633802816903,748.1014084507042,1325
Staffing_1Doc,2024-01-01 12:00:00,557,792.6463195691202,16.416517055655298,809.0628366247756,1406
Staffing_1Doc,2024-01-01 13:00:00,542,829.6549815498155,16.29520295202952,845.950184501845,1444
Staffing_1Doc,2024-01-01 14:00:00,542,881.719557195572,16.324723247232473,898.0442804428044,1489
Staffing_1Doc,2024-01-01 15:00:00,551,819.3793103448276,16.450090744101633,835.8294010889292,1496
Staffing_1Doc,2024-01-01 16:00:00,543,907.147329650092,16.2707182320442,923.4180478821363,1534
Staffing_1Doc,2024-01-01 17:00:00,543,896.1731123388582,16.47329650092081,912.646408839779,1544
Staffing_1Doc,2024-01-01 18:00:00,544,914.6727941176471,16.363970588235293,931.0367647058823,1627
